Name,Team,Nat,Age,Pos,Height,Weight,Apps(Subs),Mins,Goals,Assists,Yel,Red,SpG,PS%,AerWon,MoM,Tackles,Inter,Fouls,OffW,Clear,DrbPast,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsT,AvgP,Crosses,LongB,ThrB,Rat
Nathan Redmond,SFC,eng,26,"AM(CLR),FW",173,69,36(2),3278,6,4,3,-,1.9,75.4,0.7,3,1.2,0.5,0.8,-,0.6,0.7,0.1,-,1.4,2.4,0.7,0.4,2.1,2.2,29.6,0.6,1.3,-,6.91
Matt Targett,SFC,eng,25,"D(L),M(L)",183,70,13(3),1187,1,3,2,-,0.7,69.9,1.1,-,1.7,1.7,0.4,0.3,1.9,0.9,0.2,-,1.4,0.1,0.6,0.1,0.4,0.4,27.6,1.4,1.4,0.1,6.89
Pierre-Emile Højbjerg,SFC,dk,25,M(C),185,84,31,2764,4,3,7,2,1.7,82.9,1.5,2,2.3,1.9,1.5,0.1,0.9,1.6,0.3,-,0.9,0.7,1.5,-,1.5,1.8,57.8,0.3,3.5,0.1,6.87
James Ward-Prowse,SFC,eng,25,M(CR),173,66,21(5),1942,7,-,4,-,1.2,76.5,0.8,-,1.4,1,0.8,-,2,1.1,0.2,1,1.8,0.2,0.4,0.1,0.6,1,27.7,1.5,1,-,6.87
Mario Lemina,SFC,ga,27,DMC,184,85,18(3),1616,1,1,5,-,1.2,86,1.4,-,2.3,2,1.5,-,1.4,0.9,0.1,-,0.6,1.1,1.1,-,1.5,1.2,38.6,0.1,2.1,-,6.85
Maya Yoshida,SFC,jp,32,D(CR),189,78,17,1520,-,1,-,-,0.8,75.7,2.1,-,0.9,2.5,0.2,0.6,5.9,0.5,1.2,-,0.3,0.1,0.4,0.1,-,0.4,32.7,-,2.4,-,6.85
Danny Ings,SFC,eng,28,"AM(C),FW",178,73,23(1),1668,7,3,1,-,2.3,71.4,0.8,-,1.3,0.2,0.7,-,0.3,0.7,0.1,-,1.2,0.8,0.9,0.3,1.2,2.3,16.3,-,0.5,0.2,6.83
Wesley Hoedt,SFC,nl,26,D(C),188,77,13,1170,-,-,2,-,0.5,78.6,2.5,-,2.2,1.8,1.2,0.7,5.8,0.7,1,2,0.1,0.5,1.2,-,0.4,0.2,47.8,-,4.4,-,6.77
Oriol Romeu,SFC,es,29,DMC,183,83,25(6),2142,1,-,11,-,0.3,79.3,1.5,1,2.6,1.7,1.5,0.1,1.2,1.5,0.5,-,0.3,0.5,0.5,-,0.5,0.6,35.5,-,1.8,-,6.76
Yan Valery,SFC,fr,21,"D(R),M(R)",180,85,20(3),1715,2,1,3,1,0.3,61.9,1.8,-,1.8,1,1.2,0.3,2.5,0.6,0.1,-,0.3,1,0.3,0.1,1.3,1.4,17.3,0.3,0.6,-,6.66
Ryan Bertrand,SFC,eng,31,"D(CL),M(L)",179,85,24,2160,1,-,8,-,0.7,75.5,1.6,-,1.9,1.2,1.1,0.1,1.8,0.6,0.2,-,1,0.3,0.9,-,0.3,1.3,32.3,0.9,0.8,0.1,6.61
Alex McCarthy,SFC,eng,30,GK,193,79,25,2250,-,-,1,-,-,45,0.6,1,-,-,-,-,0.9,-,-,-,-,-,0.1,-,-,-,23.4,-,5.6,-,6.58
Cédric Soares,SFC,pt,29,"D(R),M(R)",172,67,16(2),1494,1,2,4,-,0.6,73.1,1.3,-,1.2,1.2,0.5,0.1,2.8,0.3,0.3,-,0.7,0.4,0.3,0.1,0.6,0.8,33.1,0.8,1.7,-,6.56
Jack Stephens,SFC,eng,26,D(C),185,75,19(5),1699,1,-,4,-,0.3,75,2.3,1,1,1.5,0.5,0.3,3.9,0.5,0.5,-,0.2,0.2,0.3,-,0.2,0.4,32,-,2.4,-,6.52
Mohamed Elyounoussi,SFC,no,26,"AM(LR),FW",178,70,8(8),791,-,-,-,-,1.3,73.4,0.6,-,1,0.4,0.6,-,0.3,0.8,0.1,-,0.9,0.7,0.8,0.1,0.5,0.9,13.9,0.8,0.5,0.1,6.51
Stuart Armstrong,SFC,sct,28,AM(CLR),183,75,16(13),1433,3,2,2,-,1.1,78.6,0.6,-,1,0.4,0.7,-,0.4,1.2,-,-,1,0.7,0.7,0.1,0.9,1.4,21.1,0.1,0.7,-,6.50
Shane Long,SFC,ie,33,"AM(R),FW",178,81,12(14),1271,5,1,3,-,1.2,64.6,2.8,1,0.6,0.3,1,-,0.7,0.5,-,-,0.5,0.2,0.9,0.5,0.8,2,11.7,-,-,-,6.50
Steven Davis,SFC,nir,35,M(CLR),173,70,1(2),97,-,1,-,-,-,94.1,0.3,-,0.7,0.3,0.7,-,1.7,-,-,-,1,-,-,-,-,0.3,22.7,0.3,1.3,0.3,6.45
Michael Obafemi,SFC,ie,20,FW,169,71,1(5),136,1,1,1,-,1.2,66.7,-,-,0.2,0.2,0.3,-,-,-,0.2,-,0.3,0.5,0.5,0.2,0.3,0.8,3,0.2,-,-,6.41
Angus Gunn,SFC,eng,24,GK,196,77,12,1080,-,-,-,-,-,35.3,0.3,1,-,-,-,-,0.9,-,-,-,-,-,0.2,-,-,-,24.1,-,6.2,-,6.37
Fraser Forster,SFC,eng,32,GK,201,93,1,90,-,-,-,-,-,31.6,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,19,-,5,-,6.36
Charlie Austin,SFC,eng,31,FW,188,84,11(14),981,2,2,1,-,1.3,58.6,1.7,-,0.5,0.1,0.6,-,0.5,0.2,0.1,-,0.4,-,0.7,0.4,0.7,1.2,7.9,-,0.2,-,6.27
Callum Slattery,SFC,eng,21,Midfielder,175,0,1(2),110,-,-,-,-,0.3,71,1,-,1.3,0.7,1.3,-,0.3,1.3,0.3,-,-,0.3,1,-,0.7,1.3,10.3,-,0.3,-,6.26
Manolo Gabbiadini,SFC,it,28,"AM(CLR),FW",181,75,4(8),471,1,-,-,-,1.7,67.8,0.7,1,0.5,0.3,0.8,-,0.4,0.1,-,-,0.4,0.2,0.7,0.1,0.3,0.4,10.1,0.1,0.1,-,6.25
Josh Sims,SFC,eng,23,AM(R),174,67,2(5),210,-,1,-,-,0.7,72.7,0.1,-,0.1,0.1,0.1,-,0.1,0.3,-,-,0.1,0.6,0.7,0.1,1,0.6,6.3,-,0.1,-,6.17
Kayne Ramsay,SFC,,20,Defender,0,0,1,90,-,-,-,-,-,71.4,2,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,14,-,-,-,6.09
Sam Gallagher,SFC,sct,25,"AM(LR),FW",194,75,0(4),32,-,-,-,-,-,16.7,0.8,-,-,-,1,-,0.3,-,-,-,-,-,0.3,-,0.5,0.3,1.5,-,-,-,6.02
Tyreke Johnson,SFC,eng,21,Midfielder,185,79,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.00
John Ruddy,WWFC,eng,33,GK,193,97,1,90,-,-,-,-,-,68.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,9,-,7.19
Matt Doherty,WWFC,ie,28,"D(LR),M(R)",182,80,35(3),3147,4,5,5,-,1.2,71.6,3.8,2,1.8,1.6,0.8,0.1,2.2,0.6,0.2,1,1,0.5,0.6,0.1,0.6,1.2,36.8,0.4,1.4,0.1,7.12
Willy Boly,WWFC,fr,29,D(C),195,92,36,3169,4,-,2,1,0.7,81,3.8,2,2.4,2,0.8,0.1,4.8,0.6,0.9,-,0.3,0.4,0.4,0.1,0.4,0.3,47.6,-,2.4,-,7.12
Raúl Jiménez,WWFC,mx,29,FW,190,76,36(2),3125,13,7,4,-,2.9,72.8,2.1,4,0.8,0.7,1.1,-,1,0.4,0.1,-,1.1,0.9,1,0.9,1.8,2.5,27.9,0.2,0.9,0.1,7.07
João Moutinho,WWFC,pt,34,M(C),170,61,35(3),3040,1,8,4,-,0.5,84.8,0.6,1,3,1.1,1.4,-,1.1,2.2,0.3,-,2.2,0.3,1,-,0.7,0.4,49,1.7,3.3,-,7.06
Leander Dendoncker,WWFC,be,25,"D(C),DMC",188,76,17(2),1469,2,-,1,-,0.9,79.4,2.9,2,2.8,1.2,0.6,0.1,1.5,1.6,0.3,-,0.4,0.6,0.6,0.1,0.4,0.9,31.9,0.1,0.8,-,6.97
Romain Saïss,WWFC,ma,30,"D(C),DMC",190,80,12(7),1145,2,-,7,-,0.6,77.1,3.2,2,2.1,1.4,1.4,0.1,3.1,0.9,0.6,-,0.2,0.3,0.4,-,0.1,0.1,38.8,0.1,3.2,-,6.93
Diogo Jota,WWFC,pt,23,"AM(CL),FW",178,70,29(4),2372,9,5,11,-,1.8,75.6,0.8,3,0.8,0.4,1.3,-,0.3,0.8,-,-,0.8,1.7,1.7,0.2,1.5,2.3,22.6,0.2,0.5,0.1,6.89
Rúben Neves,WWFC,pt,23,DMC,180,72,34(1),3009,4,3,8,-,2.1,81.2,0.9,-,2.1,2.1,1.1,-,1.3,1.6,0.5,-,0.7,0.3,0.5,-,0.8,0.8,55.4,0.1,6.1,-,6.86
Jonny,WWFC,es,26,"D(CLR),M(L)",175,70,32(1),2780,1,1,6,-,0.8,77.8,1.2,1,2.4,1.8,0.7,0.2,1.6,0.9,0.2,-,0.9,0.9,1,0.2,1.2,1.2,32.6,0.3,1,-,6.85
Ryan Bennett,WWFC,eng,30,D(C),188,70,34,3060,1,-,12,-,0.4,79.6,3.6,-,1.7,1.3,1.1,0.2,3.6,0.5,0.6,-,0.3,0.1,0.3,-,-,0.1,39.6,-,2,-,6.77
Adama Traoré,WWFC,es,24,"M(LR),FW",178,72,8(21),896,1,1,1,-,0.7,72.2,0.8,1,0.6,0.2,0.5,-,0.2,0.2,-,-,0.6,2.2,0.9,0.2,1.6,1.3,9.3,0.5,0.2,-,6.59
Rui Patrício,WWFC,pt,32,GK,190,84,37,3330,-,-,-,-,-,53.6,0.2,-,0.1,-,-,-,0.4,-,-,-,-,-,-,-,-,-,20.5,-,6.9,-,6.45
